Train,Line,Station,Arrival Time,Driver,Crew 1,Crew 2
Train1,Poplar,Green,2024-07-18 16:29:34,Alejandro,Alice,Barbra
Train1,Castle Shannon,Green,2024-07-18 16:32:02,Alejandro,Alice,Barbra
Train1,Poplar,Green,2024-07-18 16:35:47,Alejandro,Alice,Barbra
Train1,Castle Shannon,Green,2024-07-18 16:38:15,Alejandro,Alice,Barbra
Train1,Poplar,Green,2024-07-18 16:42:00,Alejandro,Alice,Barbra
Train1,Castle Shannon,Green,2024-07-18 16:44:28,Alejandro,Alice,Barbra
Train1,Poplar,Green,2024-07-18 16:48:13,Alejandro,Alice,Barbra
Train1,Castle Shannon,Green,2024-07-18 16:50:41,Alejandro,Alice,Barbra
Train1,Poplar,Green,2024-07-18 16:54:26,Alejandro,Alice,Barbra
Train1,Castle Shannon,Green,2024-07-18 16:56:54,Alejandro,Alice,Barbra
Train1,Poplar,Green,2024-07-18 17:00:39,Alejandro,Alice,Barbra
Train1,Castle Shannon,Green,2024-07-18 17:03:07,Alejandro,Alice,Barbra
Train1,Poplar,Green,2024-07-18 17:06:52,Alejandro,Alice,Barbra
Train1,Castle Shannon,Green,2024-07-18 17:09:20,Alejandro,Alice,Barbra
Train1,Poplar,Green,2024-07-18 17:13:05,Alejandro,Alice,Barbra
Train1,Castle Shannon,Green,2024-07-18 17:15:33,Alejandro,Alice,Barbra
Train1,Poplar,Green,2024-07-18 17:19:18,Alejandro,Alice,Barbra
Train1,Castle Shannon,Green,2024-07-18 17:21:46,Alejandro,Alice,Barbra
Train1,Poplar,Green,2024-07-18 17:25:31,Alejandro,Alice,Barbra
Train1,Castle Shannon,Green,2024-07-18 17:27:59,Alejandro,Alice,Barbra
Train1,Poplar,Green,2024-07-18 17:31:44,Alejandro,Alice,Barbra
Train1,Castle Shannon,Green,2024-07-18 17:34:12,Alejandro,Alice,Barbra
Train1,Poplar,Green,2024-07-18 17:37:57,Alejandro,Alice,Barbra
Train1,Castle Shannon,Green,2024-07-18 17:40:25,Alejandro,Alice,Barbra
Train1,Poplar,Green,2024-07-18 17:44:10,Alejandro,Alice,Barbra
Train1,Castle Shannon,Green,2024-07-18 17:46:38,Alejandro,Alice,Barbra
