Train,Line,Station,Arrival Time,Driver,Crew 1,Crew 2
Train1,Glenbury,Green,2024-07-30 00:00:45,Alejandro,Alice,Barbra
Train1,Dormont,Green,2024-07-30 00:02:58,Alejandro,Alice,Barbra
Train1,Glenbury,Green,2024-07-30 00:04:18,Alejandro,Alice,Barbra
Train1,Dormont,Green,2024-07-30 00:06:31,Alejandro,Alice,Barbra
Train1,Glenbury,Green,2024-07-30 00:07:51,Alejandro,Alice,Barbra
Train1,Dormont,Green,2024-07-30 00:10:04,Alejandro,Alice,Barbra
Train1,Glenbury,Green,2024-07-30 00:11:24,Alejandro,Alice,Barbra
Train1,Dormont,Green,2024-07-30 00:13:37,Alejandro,Alice,Barbra
Train1,Glenbury,Green,2024-07-30 00:14:57,Alejandro,Alice,Barbra
Train1,Dormont,Green,2024-07-30 00:17:10,Alejandro,Alice,Barbra
Train1,Glenbury,Green,2024-07-30 00:18:30,Alejandro,Alice,Barbra
Train1,Dormont,Green,2024-07-30 00:20:43,Alejandro,Alice,Barbra
Train1,Glenbury,Green,2024-07-30 00:22:03,Alejandro,Alice,Barbra
Train1,Dormont,Green,2024-07-30 00:24:16,Alejandro,Alice,Barbra
Train1,Glenbury,Green,2024-07-30 00:25:36,Alejandro,Alice,Barbra
Train1,Dormont,Green,2024-07-30 00:27:49,Alejandro,Alice,Barbra
Train1,Glenbury,Green,2024-07-30 00:29:09,Alejandro,Alice,Barbra
Train1,Dormont,Green,2024-07-30 00:31:22,Alejandro,Alice,Barbra
Train1,Glenbury,Green,2024-07-30 00:32:42,Alejandro,Alice,Barbra
Train1,Dormont,Green,2024-07-30 00:34:55,Alejandro,Alice,Barbra
Train1,Glenbury,Green,2024-07-30 00:36:15,Alejandro,Alice,Barbra
Train1,Dormont,Green,2024-07-30 00:38:28,Alejandro,Alice,Barbra
Train1,Glenbury,Green,2024-07-30 00:39:48,Alejandro,Alice,Barbra
Train1,Dormont,Green,2024-07-30 00:42:01,Alejandro,Alice,Barbra
Train1,Glenbury,Green,2024-07-30 00:43:21,Alejandro,Alice,Barbra
Train1,Dormont,Green,2024-07-30 00:45:34,Alejandro,Alice,Barbra
Train1,Glenbury,Green,2024-07-30 00:46:54,Alejandro,Alice,Barbra
Train1,Dormont,Green,2024-07-30 00:49:07,Alejandro,Alice,Barbra
Train1,Glenbury,Green,2024-07-30 00:50:27,Alejandro,Alice,Barbra
Train1,Dormont,Green,2024-07-30 00:52:40,Alejandro,Alice,Barbra
Train1,Glenbury,Green,2024-07-30 00:54:00,Alejandro,Alice,Barbra
Train1,Dormont,Green,2024-07-30 00:56:13,Alejandro,Alice,Barbra
Train1,Glenbury,Green,2024-07-30 00:57:33,Alejandro,Alice,Barbra
Train1,Dormont,Green,2024-07-30 00:59:46,Alejandro,Alice,Barbra
Train1,Glenbury,Green,2024-07-30 01:01:06,Alejandro,Alice,Barbra
Train1,Dormont,Green,2024-07-30 01:03:19,Alejandro,Alice,Barbra
Train1,Glenbury,Green,2024-07-30 01:04:39,Alejandro,Alice,Barbra
Train1,Dormont,Green,2024-07-30 01:06:52,Alejandro,Alice,Barbra
Train1,Glenbury,Green,2024-07-30 01:08:12,Alejandro,Alice,Barbra
Train1,Dormont,Green,2024-07-30 01:10:25,Alejandro,Alice,Barbra
Train1,Glenbury,Green,2024-07-30 01:11:45,Alejandro,Alice,Barbra
Train1,Dormont,Green,2024-07-30 01:13:58,Alejandro,Alice,Barbra
Train1,Glenbury,Green,2024-07-30 01:15:18,Alejandro,Alice,Barbra
Train1,Dormont,Green,2024-07-30 01:17:31,Alejandro,Alice,Barbra
Train1,Glenbury,Green,2024-07-30 01:18:51,Alejandro,Alice,Barbra
Train1,Dormont,Green,2024-07-30 01:21:04,Alejandro,Alice,Barbra
Train1,Glenbury,Green,2024-07-30 01:22:24,Alejandro,Alice,Barbra
Train1,Dormont,Green,2024-07-30 01:24:37,Alejandro,Alice,Barbra
Train1,Glenbury,Green,2024-07-30 01:25:57,Alejandro,Alice,Barbra
Train1,Dormont,Green,2024-07-30 01:28:10,Alejandro,Alice,Barbra
Train1,Glenbury,Green,2024-07-30 01:29:30,Alejandro,Alice,Barbra
Train1,Dormont,Green,2024-07-30 01:31:43,Alejandro,Alice,Barbra
Train1,Glenbury,Green,2024-07-30 01:33:03,Alejandro,Alice,Barbra
Train1,Dormont,Green,2024-07-30 01:35:16,Alejandro,Alice,Barbra
Train1,Glenbury,Green,2024-07-30 01:36:36,Alejandro,Alice,Barbra
Train1,Dormont,Green,2024-07-30 01:38:49,Alejandro,Alice,Barbra
Train1,Glenbury,Green,2024-07-30 01:40:09,Alejandro,Alice,Barbra
Train1,Dormont,Green,2024-07-30 01:42:22,Alejandro,Alice,Barbra
Train1,Glenbury,Green,2024-07-30 01:43:42,Alejandro,Alice,Barbra
Train1,Dormont,Green,2024-07-30 01:45:55,Alejandro,Alice,Barbra
Train1,Glenbury,Green,2024-07-30 01:47:15,Alejandro,Alice,Barbra
Train1,Dormont,Green,2024-07-30 01:49:28,Alejandro,Alice,Barbra
Train1,Glenbury,Green,2024-07-30 01:50:48,Alejandro,Alice,Barbra
Train1,Dormont,Green,2024-07-30 01:53:01,Alejandro,Alice,Barbra
Train1,Glenbury,Green,2024-07-30 01:54:21,Alejandro,Alice,Barbra
Train1,Dormont,Green,2024-07-30 01:56:34,Alejandro,Alice,Barbra
Train1,Glenbury,Green,2024-07-30 01:57:54,Alejandro,Alice,Barbra
Train1,Dormont,Green,2024-07-30 02:00:07,Alejandro,Alice,Barbra
Train1,Glenbury,Green,2024-07-30 02:01:27,Alejandro,Alice,Barbra
Train1,Dormont,Green,2024-07-30 02:03:40,Alejandro,Alice,Barbra
Train1,Glenbury,Green,2024-07-30 02:05:00,Alejandro,Alice,Barbra
Train1,Dormont,Green,2024-07-30 02:07:13,Alejandro,Alice,Barbra
Train1,Glenbury,Green,2024-07-30 02:08:33,Alejandro,Alice,Barbra
Train1,Dormont,Green,2024-07-30 02:10:46,Alejandro,Alice,Barbra
Train1,Glenbury,Green,2024-07-30 02:12:06,Alejandro,Alice,Barbra
Train1,Dormont,Green,2024-07-30 02:14:19,Alejandro,Alice,Barbra
Train1,Glenbury,Green,2024-07-30 02:15:39,Alejandro,Alice,Barbra
Train1,Dormont,Green,2024-07-30 02:17:52,Alejandro,Alice,Barbra
Train1,Glenbury,Green,2024-07-30 02:19:12,Alejandro,Alice,Barbra
Train1,Dormont,Green,2024-07-30 02:21:25,Alejandro,Alice,Barbra
Train1,Glenbury,Green,2024-07-30 02:22:45,Alejandro,Alice,Barbra
Train1,Dormont,Green,2024-07-30 02:24:58,Alejandro,Alice,Barbra
Train1,Glenbury,Green,2024-07-30 02:26:18,Alejandro,Alice,Barbra
Train1,Dormont,Green,2024-07-30 02:28:31,Alejandro,Alice,Barbra
Train1,Glenbury,Green,2024-07-30 02:29:51,Alejandro,Alice,Barbra
