Train,Station,Prev Block,Start Block,End Block,Arrival Time,Driver,Crew 1,Crew 2
Train1,Mt. Lebanon 1,152,152,77,2024-07-27 00:02:14.417143,Alejandro,Alice,Barbra
Train1,Poplar,76,77,88,2024-07-27 00:05:14.716114,Alejandro,Alice,Barbra
Train1,Mt. Lebanon 1,152,88,77,2024-07-27 00:06:14.716114,Alejandro,Alice,Barbra
Train1,Poplar,76,77,88,2024-07-27 00:09:15.015085,Alejandro,Alice,Barbra
Train1,Mt. Lebanon 1,152,88,77,2024-07-27 00:10:15.015085,Alejandro,Alice,Barbra
Train1,Poplar,76,77,88,2024-07-27 00:13:15.314056,Alejandro,Alice,Barbra
Train1,Mt. Lebanon 1,152,88,77,2024-07-27 00:14:15.314056,Alejandro,Alice,Barbra
Train1,Poplar,76,77,88,2024-07-27 00:17:15.613027,Alejandro,Alice,Barbra
Train1,Mt. Lebanon 1,152,88,77,2024-07-27 00:18:15.613027,Alejandro,Alice,Barbra
Train1,Poplar,76,77,88,2024-07-27 00:21:15.911998,Alejandro,Alice,Barbra
Train1,Mt. Lebanon 1,152,88,77,2024-07-27 00:22:15.911998,Alejandro,Alice,Barbra
Train1,Poplar,76,77,88,2024-07-27 00:25:16.210969,Alejandro,Alice,Barbra
Train1,Mt. Lebanon 1,152,88,77,2024-07-27 00:26:16.210969,Alejandro,Alice,Barbra
Train1,Poplar,76,77,88,2024-07-27 00:29:16.509940,Alejandro,Alice,Barbra
Train1,Mt. Lebanon 1,152,88,77,2024-07-27 00:30:16.509940,Alejandro,Alice,Barbra
Train1,Poplar,76,77,88,2024-07-27 00:33:16.808911,Alejandro,Alice,Barbra
Train1,Mt. Lebanon 1,152,88,77,2024-07-27 00:34:16.808911,Alejandro,Alice,Barbra
Train1,Poplar,76,77,88,2024-07-27 00:37:17.107882,Alejandro,Alice,Barbra
Train1,Mt. Lebanon 1,152,88,77,2024-07-27 00:38:17.107882,Alejandro,Alice,Barbra
Train1,Poplar,76,77,88,2024-07-27 00:41:17.406853,Alejandro,Alice,Barbra
Train1,Mt. Lebanon 1,152,88,77,2024-07-27 00:42:17.406853,Alejandro,Alice,Barbra
Train1,Poplar,76,77,88,2024-07-27 00:45:17.705824,Alejandro,Alice,Barbra
Train1,Mt. Lebanon 1,152,88,77,2024-07-27 00:46:17.705824,Alejandro,Alice,Barbra
Train1,Poplar,76,77,88,2024-07-27 00:49:18.004795,Alejandro,Alice,Barbra
Train1,Mt. Lebanon 1,152,88,77,2024-07-27 00:50:18.004795,Alejandro,Alice,Barbra
Train1,Poplar,76,77,88,2024-07-27 00:53:18.303766,Alejandro,Alice,Barbra
Train1,Mt. Lebanon 1,152,88,77,2024-07-27 00:54:18.303766,Alejandro,Alice,Barbra
Train1,Poplar,76,77,88,2024-07-27 00:57:18.602737,Alejandro,Alice,Barbra
Train1,Mt. Lebanon 1,152,88,77,2024-07-27 00:58:18.602737,Alejandro,Alice,Barbra
Train1,Poplar,76,77,88,2024-07-27 01:01:18.901708,Alejandro,Alice,Barbra
Train1,Mt. Lebanon 1,152,88,77,2024-07-27 01:02:18.901708,Alejandro,Alice,Barbra
Train1,Poplar,76,77,88,2024-07-27 01:05:19.200679,Alejandro,Alice,Barbra
Train1,Mt. Lebanon 1,152,88,77,2024-07-27 01:06:19.200679,Alejandro,Alice,Barbra
Train1,Poplar,76,77,88,2024-07-27 01:09:19.499650,Alejandro,Alice,Barbra
Train1,Mt. Lebanon 1,152,88,77,2024-07-27 01:10:19.499650,Alejandro,Alice,Barbra
Train1,Poplar,76,77,88,2024-07-27 01:13:19.798621,Alejandro,Alice,Barbra
