Train,Station,Prev Block,Start Block,End Block,Arrival Time,Driver,Crew 1,Crew 2
1,Glenbury 1,152,152,65,2024-07-30 17:42:24.845714,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 17:43:59.131428,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 17:44:59.131428,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 17:46:33.417142,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 17:47:33.417142,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 17:49:07.702856,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 17:50:07.702856,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 17:51:41.988570,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 17:52:41.988570,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 17:54:16.274284,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 17:55:16.274284,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 17:56:50.559998,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 17:57:50.559998,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 17:59:24.845712,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 18:00:24.845712,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 18:01:59.131426,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 18:02:59.131426,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 18:04:33.417140,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 18:05:33.417140,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 18:07:07.702854,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 18:08:07.702854,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 18:09:41.988568,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 18:10:41.988568,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 18:12:16.274282,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 18:13:16.274282,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 18:14:50.559996,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 18:15:50.559996,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 18:17:24.845710,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 18:18:24.845710,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 18:19:59.131424,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 18:20:59.131424,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 18:22:33.417138,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 18:23:33.417138,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 18:25:07.702852,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 18:26:07.702852,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 18:27:41.988566,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 18:28:41.988566,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 18:30:16.274280,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 18:31:16.274280,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 18:32:50.559994,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 18:33:50.559994,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 18:35:24.845708,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 18:36:24.845708,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 18:37:59.131422,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 18:38:59.131422,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 18:40:33.417136,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 18:41:33.417136,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 18:43:07.702850,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 18:44:07.702850,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 18:45:41.988564,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 18:46:41.988564,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 18:48:16.274278,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 18:49:16.274278,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 18:50:50.559992,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 18:51:50.559992,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 18:53:24.845706,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 18:54:24.845706,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 18:55:59.131420,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 18:56:59.131420,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 18:58:33.417134,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 18:59:33.417134,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 19:01:07.702848,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 19:02:07.702848,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 19:03:41.988562,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 19:04:41.988562,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 19:06:16.274276,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 19:07:16.274276,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 19:08:50.559990,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 19:09:50.559990,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 19:11:24.845704,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 19:12:24.845704,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 19:13:59.131418,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 19:14:59.131418,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 19:16:33.417132,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 19:17:33.417132,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 19:19:07.702846,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 19:20:07.702846,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 19:21:41.988560,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 19:22:41.988560,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 19:24:16.274274,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 19:25:16.274274,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 19:26:50.559988,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 19:27:50.559988,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 19:29:24.845702,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 19:30:24.845702,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 19:31:59.131416,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 19:32:59.131416,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 19:34:33.417130,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 19:35:33.417130,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 19:37:07.702844,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 19:38:07.702844,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 19:39:41.988558,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 19:40:41.988558,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 19:42:16.274272,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 19:43:16.274272,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 19:44:50.559986,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 19:45:50.559986,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 19:47:24.845700,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 19:48:24.845700,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 19:49:59.131414,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 19:50:59.131414,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 19:52:33.417128,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 19:53:33.417128,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 19:55:07.702842,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 19:56:07.702842,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 19:57:41.988556,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 19:58:41.988556,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 20:00:16.274270,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 20:01:16.274270,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 20:02:50.559984,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 20:03:50.559984,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 20:05:24.845698,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 20:06:24.845698,Alejandro,Alice,Barbra
1,Dormont 1,64,65,73,2024-07-30 20:07:59.131412,Alejandro,Alice,Barbra
1,Glenbury 1,152,73,65,2024-07-30 20:08:59.131412,Alejandro,Alice,Barbra
