Train,Station,Prev Block,Start Block,End Block,Arrival Time,Driver,Crew 1,Crew 2
1,Herron,78,78,16,2024-08-05 00:01:50,Alejandro,Alice,Barbra
1,Swissville,15,16,21,2024-08-05 00:03:24.519481,Alejandro,Alice,Barbra
1,Penn Station,20,21,25,2024-08-05 00:04:10.181819,Alejandro,Alice,Barbra
1,Steel Plaza,24,25,35,2024-08-05 00:05:04.353248,Alejandro,Alice,Barbra
1,First Ave,34,35,45,2024-08-05 00:05:58.524677,Alejandro,Alice,Barbra
1,Station Square,44,45,48,2024-08-05 00:06:36.238963,Alejandro,Alice,Barbra
1,South Hills Junction,47,48,60,2024-08-05 00:07:49.430236,Alejandro,Alice,Barbra
1,Shadyside,59,60,7,2024-08-05 00:12:11.796833,Alejandro,Alice,Barbra
1,Herron,7,7,16,2024-08-05 00:12:41.796833,Alejandro,Alice,Barbra
1,Swissville,15,16,21,2024-08-05 00:14:16.316314,Alejandro,Alice,Barbra
1,Penn Station,20,21,25,2024-08-05 00:15:01.978652,Alejandro,Alice,Barbra
1,Steel Plaza,24,25,35,2024-08-05 00:15:56.150081,Alejandro,Alice,Barbra
1,First Ave,34,35,45,2024-08-05 00:16:50.321510,Alejandro,Alice,Barbra
1,Station Square,44,45,48,2024-08-05 00:17:28.035796,Alejandro,Alice,Barbra
1,South Hills Junction,47,48,60,2024-08-05 00:18:41.227069,Alejandro,Alice,Barbra
1,Shadyside,59,60,7,2024-08-05 00:23:03.593666,Alejandro,Alice,Barbra
1,Herron,7,7,16,2024-08-05 00:23:33.593666,Alejandro,Alice,Barbra
1,Swissville,15,16,21,2024-08-05 00:25:08.113147,Alejandro,Alice,Barbra
1,Penn Station,20,21,25,2024-08-05 00:25:53.775485,Alejandro,Alice,Barbra
1,Steel Plaza,24,25,35,2024-08-05 00:26:47.946914,Alejandro,Alice,Barbra
1,First Ave,34,35,45,2024-08-05 00:27:42.118343,Alejandro,Alice,Barbra
1,Station Square,44,45,48,2024-08-05 00:28:19.832629,Alejandro,Alice,Barbra
1,South Hills Junction,47,48,60,2024-08-05 00:29:33.023902,Alejandro,Alice,Barbra
1,Shadyside,59,60,7,2024-08-05 00:33:55.390499,Alejandro,Alice,Barbra
1,Herron,7,7,16,2024-08-05 00:34:25.390499,Alejandro,Alice,Barbra
1,Swissville,15,16,21,2024-08-05 00:35:59.909980,Alejandro,Alice,Barbra
1,Penn Station,20,21,25,2024-08-05 00:36:45.572318,Alejandro,Alice,Barbra
1,Steel Plaza,24,25,35,2024-08-05 00:37:39.743747,Alejandro,Alice,Barbra
1,First Ave,34,35,45,2024-08-05 00:38:33.915176,Alejandro,Alice,Barbra
1,Station Square,44,45,48,2024-08-05 00:39:11.629462,Alejandro,Alice,Barbra
1,South Hills Junction,47,48,60,2024-08-05 00:40:24.820735,Alejandro,Alice,Barbra
1,Shadyside,59,60,7,2024-08-05 00:44:47.187332,Alejandro,Alice,Barbra
1,Herron,7,7,16,2024-08-05 00:45:17.187332,Alejandro,Alice,Barbra
1,Swissville,15,16,21,2024-08-05 00:46:51.706813,Alejandro,Alice,Barbra
1,Penn Station,20,21,25,2024-08-05 00:47:37.369151,Alejandro,Alice,Barbra
1,Steel Plaza,24,25,35,2024-08-05 00:48:31.540580,Alejandro,Alice,Barbra
1,First Ave,34,35,45,2024-08-05 00:49:25.712009,Alejandro,Alice,Barbra
1,Station Square,44,45,48,2024-08-05 00:50:03.426295,Alejandro,Alice,Barbra
1,South Hills Junction,47,48,60,2024-08-05 00:51:16.617568,Alejandro,Alice,Barbra
1,Shadyside,59,60,7,2024-08-05 00:55:38.984165,Alejandro,Alice,Barbra
1,Herron,7,7,16,2024-08-05 00:56:08.984165,Alejandro,Alice,Barbra
1,Swissville,15,16,21,2024-08-05 00:57:43.503646,Alejandro,Alice,Barbra
1,Penn Station,20,21,25,2024-08-05 00:58:29.165984,Alejandro,Alice,Barbra
